.Urdu,"16,765","1,559","4,987",723
.Other Indic languages,"21,406","1,581","6,594",773
..India n.e.c.3,560,269,145,112
..Bengali,"8,435","1,121","2,280",452
..Panjabi,"3,270",742,"1,100",387
..Marathi,"1,600",391,110,81
..Bihari,(D),(D),(B),--
..Oriya,170,136,35,41
..Assamese,(D),(D),(B),--
..Kashmiri,120,100,35,33
..Nepali,"4,240",849,"2,170",479
..Sindhi,255,145,(D),(D)
..Pakistan n.e.c.3,815,449,135,77
..Sinhalese,"1,885",517,560,260
..Romany,35,40,(B),--
.Other Indo-European languages,"8,736","1,111","2,342",535
..Jamaican Creole,730,276,185,130
..Krio,"2,360",615,655,383
..Pidgin,500,242,190,115
..Gullah,(D),(D),(B),--
..Catalonian,155,106,(B),--
..Romanian,"1,930",381,535,179
..Welsh,30,31,(D),(D)
..Irish Gaelic,340,151,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,685,278,210,109
..Lithuanian,630,194,175,89
..Latvian,830,348,240,177
..Pashto,375,227,85,75
..Kurdish,140,102,65,75
ASIAN AND PACIFIC ISLAND LANGUAGES,"196,814","3,429","85,374","2,553"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","61,951","2,200","28,687","1,711"
..Chinese,"46,830","2,016","22,605","1,529"
..Hakka,(D),(D),(B),--
..Cantonese,"3,820",561,"1,735",349
..Mandarin,"9,210","1,083","3,385",566
..Formosan,"2,020",419,955,257
..Wu,45,44,(D),(D)
.Japanese,"6,249",711,"2,318",422
.Korean,"38,029","2,211","21,151","1,625"
".Mon-Khmer, Cambodian","1,974",635,813,210
.Hmong,7,15,(B),--
.Thai,"3,710",563,"1,675",342
.Laotian,914,342,469,213
.Vietnamese,"21,268","1,772","12,413","1,336"
.Other Asian languages,"25,518","1,779","6,310",880
..Kazakh,(D),(D),(D),(D)
..Kirghiz,55,54,30,34
..Uighur,205,153,165,138
..Azerbaijani,270,265,150,168
..Turkish,"3,555",680,"1,200",402
..Mongolian,170,118,(D),(D)
..Dravidian,40,36,(D),(D)
..Gondi,75,79,(D),(D)
..Telugu,"6,845","1,075","1,000",282
..Kannada,"1,245",316,205,132
..Malayalam,"4,190",675,975,228
..Tamil,"6,135",707,995,256
..Munda,15,16,(B),--
..Tibetan,280,177,180,129
..Burmese,"2,330",693,"1,320",493
..Mien,(D),(D),(B),--
..Paleo-siberian,45,78,(D),(D)
.Tagalog,"32,818","1,977","10,304",965
.Other Pacific Island languages,"4,376",806,"1,234",354
..Indonesian,"1,590",423,585,217
..Balinese,275,334,(B),--
..Malagasy,120,119,(D),(D)
..Malay,315,176,80,80
..Bisayan,395,168,50,33
..Sebuano,400,183,140,111
..Ilocano,590,327,210,166
..Bikol,(D),(D),(D),(D)
..Pampangan,280,210,90,87
..Micronesian,(D),(D),(D),(D)
..Chamorro,35,28,(B),--
..Palau,100,94,4,25
..Trukese,(D),(D),(B),--
..Melanesian,(D),(D),(B),--
..Samoan,65,50,(B),--
..Tongan,80,100,(B),--
..Hawaiian,60,65,(D),(D)
ALL OTHER LANGUAGES,"96,836","3,596","23,077","1,461"
.Navajo,97,82,(B),--
.Other Native North American languages,"1,236",485,265,165
..Inupik,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Ojibwa,70,80,(D),(D)
..Makah,35,51,35,51
..Kuchin,(D),(D),(D),(D)
..Apache,(D),(D),(B),--
..Santiam,(D),(D),(B),--
..Karok,(D),(D),(D),(D)
..Walapai,(D),(D),(B),--
..Dakota,65,52,(D),(D)
..Choctaw,520,437,(D),(D)
..Muskogee,80,107,80,107
..Keres,70,109,(B),--
..Mohawk,(D),(D),(B),--
..Cherokee,55,51,(B),--
..Zuni,35,45,(D),(D)
..American Indian,135,101,(D),(D)
.Hungarian,"2,057",411,518,201
.Arabic,"14,847","1,545","3,431",606
.Hebrew,"6,092",704,699,198
.African languages,"71,519","2,891","17,882","1,229"
..Amharic,"19,855","1,390","7,435",846
..Berber,260,322,145,172
..Chadic,460,224,165,134
..Cushite,"1,375",540,495,216
..Sudanic,(D),(D),(D),(D)
..Nilotic,145,80,(D),(D)
..Khoisan,55,89,20,32
..Swahili,"6,170",904,"1,395",355
..Bantu,"3,925",711,820,290
..Mande,"1,430",345,455,216
..Fulani,"3,425",709,"1,155",345
..Gur,110,98,(D),(D)
"..Kru, Ibo, Yoruba","33,510","2,059","5,605",801
..Efik,430,205,70,51
..Mbum (and related),80,93,(D),(D)
..African,230,138,40,36
.Other and unspecified languages,988,292,282,121
..Finnish,260,142,(D),(D)
..Estonian,225,93,45,45
..Caucasian,310,215,130,102
..Syriac,(D),(D),(D),(D)
..Mayan languages,30,27,(D),(D)
..Quechua,45,48,45,48
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,80,48,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US24). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
