.Other Native North American languages,"1,906",320,222,75
..Aleut,(D),(D),(B),--
..Arapaho,(D),(D),(D),(D)
..Ojibwa,(D),(D),(B),--
..Salish,(D),(D),(B),--
..Haida,(D),(D),(B),--
..Apache,20,24,(B),--
..Mountain Maidu,(D),(D),(B),--
..Washo,145,66,15,15
..Walapai,(D),(D),(B),--
..Yavapai,(D),(D),(D),(D)
..Crow,(D),(D),(B),--
..Mandan,(D),(D),(B),--
..Dakota,20,19,(B),--
..Cherokee,95,104,(D),(D)
..Paiute,740,167,80,42
..Northern Paiute,(D),(D),(D),(D)
..Southern Paiute,(D),(D),(B),--
..Ute,(D),(D),(B),--
..Shoshoni,570,151,100,53
..Pima,20,27,(B),--
..American Indian,210,134,(D),(D)
.Hungarian,"1,792",436,574,213
.Arabic,"5,964","1,052","2,000",527
.Hebrew,"2,565",583,427,151
.African languages,"9,641","1,241","4,722",778
..Amharic,"7,075","1,045","3,915",658
..Cushite,575,303,410,268
..Swahili,375,190,(D),(D)
..Bantu,545,427,50,53
..Fulani,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba",715,272,105,109
..African,340,196,225,129
.Other and unspecified languages,818,265,314,194
..Finnish,105,65,(D),(D)
..Caucasian,(D),(D),(D),(D)
..Basque,90,60,45,51
..Syriac,475,241,210,181
..Mayan languages,(D),(D),(D),(D)
..Uncodable,90,51,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US32). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
