..Malagasy,10,13,10,13
..Malay,"1,425",416,445,253
..Bisayan,"1,395",401,460,183
..Sebuano,"1,205",552,450,267
..Pangasinan,(D),(D),(B),--
..Ilocano,530,170,145,78
..Bikol,20,27,(D),(D)
..Pampangan,200,122,50,48
..Micronesian,275,245,(B),--
..Carolinian,125,151,(D),(D)
..Chamorro,"1,590",451,160,93
..Kusaiean,(D),(D),(B),--
..Marshallese,645,168,285,90
..Mokilese,(D),(D),(B),--
..Palau,435,229,180,130
..Ponapean,305,185,95,77
..Trukese,340,279,160,143
..Melanesian,75,73,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,"1,455",350,190,103
..Tongan,"1,655",516,300,157
..Fijian,105,118,(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,480,187,60,72
ALL OTHER LANGUAGES,"151,070","4,811","43,866","2,245"
.Navajo,"1,021",297,156,94
.Other Native North American languages,"2,630",416,507,150
..Aleut,(D),(D),(B),--
..Inupik,(D),(D),(D),(D)
..Yupik,(D),(D),(B),--
..Fox,(D),(D),(D),(D)
..Kickapoo,405,114,110,61
..French Cree,(D),(D),(D),(D)
..Micmac,(D),(D),(B),--
..Ojibwa,70,102,(B),--
..Ottawa,(D),(D),(B),--
..Potawatomi,(D),(D),(D),(D)
..Tillamook,(D),(D),(B),--
..Athapascan,(D),(D),(B),--
..Kuchin,(D),(D),(B),--
..Tanaina,(D),(D),(B),--
..Apache,55,42,(B),--
..Kiowa,25,52,(B),--
..Tlingit,4,10,(B),--
..Foothill North Yokuts,(D),(D),(D),(D)
..Karok,(D),(D),(B),--
..Yuchi,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,165,85,30,28
..Osage,(D),(D),(B),--
..Alabama,290,114,55,33
..Choctaw,200,80,75,55
..Koasati,130,94,25,21
..Muskogee,75,65,(B),--
..Keres,40,43,(B),--
..Iroquois,(D),(D),(B),--
..Oneida,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,520,225,100,71
..Comanche,(D),(D),(B),--
..Mono,(D),(D),(B),--
..Pima,55,65,(D),(D)
..Tiwa,20,20,(D),(D)
..Tewa,4,10,(B),--
..Zuni,65,85,(B),--
..American Indian,60,41,(B),--
..San Carlos,(D),(D),(B),--
.Hungarian,"2,902",539,693,220
.Arabic,"55,304","2,843","19,399","1,258"
.Hebrew,"5,633",930,873,245
.African languages,"80,814","3,857","21,419","1,707"
..Amharic,"15,470","1,650","6,470","1,110"
..Berber,65,67,(D),(D)
..Chadic,590,336,145,94
..Cushite,"4,155","1,188","2,645",836
..Sudanic,515,309,330,216
..Nilotic,425,255,125,175
..Nilo-Hamitic,35,37,(B),--
..Nubian,50,51,(D),(D)
..Swahili,"11,000","1,192","2,040",474
..Bantu,"5,735","1,228","2,170",798
..Mande,730,328,265,149
..Fulani,885,337,180,118
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba","38,040","2,871","6,170",787
..Efik,"1,200",508,125,138
..Mbum (and related),(D),(D),(B),--
..African,"1,860",479,735,377
.Other and unspecified languages,"2,766",541,819,310
..Finnish,"1,010",277,85,60
..Estonian,145,114,(D),(D)
..Caucasian,100,65,(B),--
..Syriac,385,166,110,60
..Aztecan,325,224,160,146
..Mayan languages,310,240,280,236
..Oto - Manguen,35,44,(D),(D)
..Quechua,125,133,70,67
..Arawakian,160,160,60,79
..Chibchan,20,33,20,33
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,140,75,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US48). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
