..Malay,"2,110",647,900,291
..Bisayan,"1,290",335,330,152
..Sebuano,"1,220",345,540,204
..Pangasinan,155,138,90,95
..Ilocano,520,199,165,72
..Pampangan,110,81,45,44
..Micronesian,(D),(D),(D),(D)
..Carolinian,(D),(D),(D),(D)
..Chamorro,160,112,(D),(D)
..Kusaiean,70,81,(D),(D)
..Marshallese,(D),(D),(D),(D)
..Palau,75,99,40,54
..Trukese,30,37,(B),--
..Melanesian,40,33,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,140,91,50,52
..Tongan,140,129,60,85
..Fijian,115,99,(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,325,238,275,227
ALL OTHER LANGUAGES,"272,285","5,595","86,790","3,015"
.Navajo,219,142,(B),--
.Other Native North American languages,"4,456",586,950,223
..Aleut,90,99,(D),(D)
..Inupik,(D),(D),(B),--
..Yupik,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Delaware,(D),(D),(B),--
..Ojibwa,145,80,(D),(D)
..Ottawa,85,85,(D),(D)
..Potawatomi,(D),(D),(B),--
..Okanogan,(D),(D),(D),(D)
..Han,60,91,40,60
..Kuchin,290,159,115,83
..Tanana,(D),(D),(B),--
..Kiowa,(D),(D),(B),--
..Wintun,40,70,40,70
..Santiam,(D),(D),(B),--
..Mohave,(D),(D),(B),--
..Yuma,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,80,68,(B),--
..Choctaw,125,114,(B),--
..Muskogee,105,79,65,61
..Keres,70,68,65,67
..Mohawk,"1,630",399,170,82
..Oneida,80,84,(B),--
..Onondaga,25,43,(B),--
..Seneca,830,205,180,85
..Tuscarora,140,97,10,10
..Cherokee,60,67,(B),--
..Comanche,(D),(D),(B),--
..Paiute,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tiwa,85,91,(D),(D)
..Towa,40,57,(D),(D)
..American Indian,255,112,110,95
.Hungarian,"12,314","1,055","4,727",579
.Arabic,"86,213","3,516","35,523","2,127"
.Hebrew,"66,835","2,700","13,320","1,116"
.African languages,"93,485","3,946","28,808","1,695"
..Amharic,"5,160",932,"1,870",552
..Berber,75,52,(D),(D)
..Chadic,"2,770",698,825,269
..Cushite,"3,030",741,"1,440",475
..Sudanic,485,269,210,133
..Nilotic,355,241,(D),(D)
..Nilo-Hamitic,65,92,15,33
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,"3,905",733,"1,230",375
..Bantu,"3,065",633,925,272
..Mande,"11,015","1,970","4,355",712
..Fulani,"8,795","1,247","4,430",847
..Gur,215,140,(D),(D)
"..Kru, Ibo, Yoruba","51,575","3,010","12,545","1,206"
..Efik,580,229,50,56
..Mbum (and related),(D),(D),(B),--
..African,"2,360",579,775,356
.Other and unspecified languages,"8,763","1,115","3,462",650
..Finnish,"1,680",351,225,115
..Estonian,810,197,195,107
..Caucasian,"3,345",733,"1,680",443
..Basque,(D),(D),(B),--
..Syriac,480,224,155,85
..Mayan languages,125,84,65,69
..Oto - Manguen,315,247,315,246
..Quechua,(D),(D),(D),(D)
..Arawakian,"1,590",525,640,253
..Chibchan,220,270,140,172
..Tupi-Guarani,50,51,(D),(D)
..Uncodable,110,64,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US36). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
