Table with column headers in row 5 and row headers in column A,,,,
Table 45. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Utah:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
..Catalonian,(D),(D),(B),--
..Romanian,470,173,120,90
..Irish Gaelic,40,32,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,215,176,120,118
..Lithuanian,85,68,(D),(D)
..Latvian,35,30,(B),--
..Pashto,(D),(D),(B),--
..Kurdish,175,125,120,94
ASIAN AND PACIFIC ISLAND LANGUAGES,"52,584","1,864","20,447","1,002"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","11,451",992,"5,547",510
..Chinese,"7,625",857,"4,145",526
..Hakka,55,59,45,47
..Cantonese,"1,350",360,570,185
..Mandarin,"2,100",468,570,144
..Formosan,295,128,190,93
..Wu,(D),(D),(D),(D)
.Japanese,"4,375",577,"1,098",256
.Korean,"4,614",659,"1,903",357
".Mon-Khmer, Cambodian","1,841",510,"1,005",307
.Hmong,315,146,174,118
.Thai,"1,137",329,434,167
.Laotian,"1,400",432,731,269
.Vietnamese,"6,355",945,"3,788",629
.Other Asian languages,"3,415",714,"1,632",530
..Turkish,500,224,305,183
..Turkmen,(D),(D),(B),--
..Mongolian,185,104,70,51
..Telugu,580,185,135,85
..Kannada,160,157,(D),(D)
..Malayalam,150,135,(D),(D)
..Tamil,565,244,145,159
..Tibetan,255,243,150,167
..Burmese,610,478,490,384
..Karen,400,254,330,230
.Tagalog,"4,309",532,"1,297",287
.Other Pacific Island languages,"13,372",944,"2,838",438
..Indonesian,230,119,60,64
..Malagasy,(D),(D),(B),--
..Malay,85,79,(D),(D)
..Sundanese,(D),(D),(D),(D)
..Bisayan,220,145,95,83
..Sebuano,420,230,(D),(D)
..Ilocano,(D),(D),(B),--
..Micronesian,60,39,(B),--
..Chamorro,45,43,30,33
..Gilbertese,(D),(D),(B),--
..Marshallese,540,477,50,59
..Mokilese,20,25,(B),--
..Palau,30,34,(B),--
..Ponapean,170,150,30,34
..Trukese,160,133,90,79
..Yapese,70,64,(B),--
..Samoan,"4,915",837,"1,035",271
..Tongan,"6,080",901,"1,330",308
..Niuean,(D),(D),(B),--
..Fijian,95,63,(B),--
..Rarotongan,(D),(D),(B),--
..Maori,30,34,(D),(D)
..Hawaiian,95,94,(D),(D)
ALL OTHER LANGUAGES,"17,676","1,138","4,015",692
.Navajo,"8,193",562,"1,288",239
.Other Native North American languages,"1,797",261,115,61
..Aleut,(D),(D),(B),--
..Yupik,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cheyenne,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Nez Perce,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,125,82,25,24
..Choctaw,(D),(D),(B),--
..Keres,(D),(D),(B),--
..Comanche,(D),(D),(B),--
..Paiute,205,130,15,15
..Ute,"1,035",220,70,50
..Shoshoni,95,91,(B),--
..Hopi,(D),(D),(B),--
..Tewa,65,52,(B),--
..Zuni,(D),(D),(B),--
..American Indian,20,24,(D),(D)
.Hungarian,314,185,25,23
.Arabic,"2,493",763,945,508
.Hebrew,241,149,8,13
.African languages,"3,735",669,"1,386",376
..Amharic,240,152,70,63
..Chadic,135,192,(D),(D)
..Cushite,"1,320",415,575,246
..Sudanic,(D),(D),(D),(D)
..Nilotic,100,97,45,52
..Nilo-Hamitic,(D),(D),(D),(D)
..Nilo-Saharan,85,99,(D),(D)
..Swahili,350,259,190,242
..Bantu,375,172,115,109
..Mande,65,64,45,59
"..Kru, Ibo, Yoruba",895,395,205,122
..Efik,65,64,40,59
..African,(D),(D),(B),--
.Other and unspecified languages,903,230,248,140
..Finnish,465,150,55,47
..Caucasian,(D),(D),(B),--
..Basque,(D),(D),(B),--
..Mayan languages,(D),(D),(D),(D)
..Oto - Manguen,115,130,95,120
..Quechua,115,118,(D),(D)
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,160,86,50,58
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US49). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
