".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","18,808","1,241","10,405",894
..Chinese,"14,755","1,073","8,380",830
..Hakka,(D),(D),(B),--
..Cantonese,890,317,510,223
..Mandarin,"2,620",461,"1,155",291
..Fuchow,(D),(D),(D),(D)
..Formosan,520,196,340,170
..Wu,10,12,10,12
.Japanese,"2,818",410,"1,048",225
.Korean,"6,918",703,"3,827",623
".Mon-Khmer, Cambodian","1,095",455,668,278
.Hmong,949,226,468,172
.Thai,"1,512",385,651,204
.Laotian,"1,058",403,592,283
.Vietnamese,"12,185","1,025","7,743",670
.Other Asian languages,"10,007","1,296","2,840",651
..Uighur,365,277,275,221
..Azerbaijani,(D),(D),(D),(D)
..Turkish,"1,945",884,750,404
..Mongolian,(D),(D),(D),(D)
..Tungus,(D),(D),(D),(D)
..Dravidian,80,75,(B),--
..Gondi,45,74,(D),(D)
..Telugu,"3,610",625,490,188
..Kannada,395,176,55,70
..Malayalam,795,284,150,77
..Tamil,"2,305",689,705,350
..Munda,(D),(D),(D),(D)
..Burmese,260,150,240,146
..Karen,170,169,130,121
.Tagalog,"7,256",806,"2,151",315
.Other Pacific Island languages,"3,898",545,"1,320",351
..Indonesian,380,166,140,96
..Malay,130,82,30,38
..Bisayan,290,135,105,81
..Sebuano,40,34,(D),(D)
..Ilocano,50,53,(D),(D)
..Bikol,15,25,(D),(D)
..Pampangan,(D),(D),(D),(D)
..Micronesian,740,241,325,168
..Chamorro,200,110,20,23
..Kusaiean,70,69,(D),(D)
..Marshallese,200,253,(D),(D)
..Mokilese,(D),(D),(D),(D)
..Palau,60,62,(D),(D)
..Ponapean,615,225,320,245
..Trukese,100,199,(D),(D)
..Melanesian,25,28,(B),--
..Samoan,535,211,125,85
..Tongan,60,59,(D),(D)
..Fijian,195,148,(D),(D)
..Hawaiian,105,67,35,34
ALL OTHER LANGUAGES,"25,700","1,765","8,802","1,013"
.Navajo,65,65,9,12
.Other Native North American languages,"1,219",297,50,37
..Inupik,(D),(D),(B),--
..Arapaho,35,44,(B),--
..Cheyenne,(D),(D),(B),--
..Kickapoo,15,16,(B),--
..Ojibwa,40,42,(B),--
..Ottawa,(D),(D),(B),--
..Foothill North Yokuts,20,29,(B),--
..Dakota,55,47,(B),--
..Winnebago,70,76,(B),--
..Ponca,(D),(D),(B),--
..Choctaw,30,39,(B),--
..Muskogee,70,59,(B),--
..Seneca,(D),(D),(B),--
..Cherokee,630,210,30,31
..Tiwa,(D),(D),(B),--
..American Indian,120,83,(D),(D)
.Hungarian,874,257,266,146
.Arabic,"9,909","1,034","4,421",727
.Hebrew,"1,203",282,110,77
.African languages,"11,775","1,173","3,883",622
..Amharic,"2,150",529,915,306
..Chadic,30,28,(B),--
..Cushite,"1,950",590,"1,000",293
..Sudanic,875,467,545,381
..Nilotic,85,70,(B),--
..Nilo-Hamitic,(D),(D),(D),(D)
..Swahili,"2,220",448,445,188
..Bantu,850,284,300,169
..Mande,80,69,(B),--
..Fulani,215,130,125,88
..Gur,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba","3,050",669,440,143
..Efik,90,67,(D),(D)
..African,120,91,25,29
.Other and unspecified languages,655,204,63,53
..Finnish,330,214,(B),--
..Caucasian,(D),(D),(D),(D)
..Basque,30,34,(D),(D)
..Syriac,35,32,(D),(D)
..Mayan languages,(D),(D),(B),--
..Chibchan,40,65,(D),(D)
..Uncodable,185,83,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US29). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
